ID,Title,Authors,Year,Journal,Volume,Number,Pages,DOI,Abstract,Keywords
4122029,A Real-Time QRS Detection Algorithm,"Pan, Jiapu and Tompkins, Willis J.",1985,IEEE Transactions on Biomedical Engineering,BME-32,3,230-236,10.1109/TBME.1985.325532,,Detection algorithms;Electrocardiography;Detectors;Databases;Band pass filters;Interference;Filtering;Computer displays;Digital filters;Noise reduction
Darmawahyuni2023,Improved delineation model of a standard 12-lead electrocardiogram based on a deep learning algorithm,"Darmawahyuni, Annisa and Nurmaini, Siti and Rachmatullah, Muhammad Naufal and Avi, Prazna Paramitha and Teguh, Samuel Benedict Putra and Sapitri, Ade Iriani and Tutuko, Bambang and Firdaus, Firdaus",2023,BMC Medical Informatics and Decision Making,23,1,139,10.1186/s12911-023-02233-0,,
laguna1997database,A database for evaluation of algorithms for measurement of QT and other waveform intervals in the ECG,"Laguna, Pablo and Mark, Roger G and Goldberger, Ary L and Moody, George B",1999,,24,,673--676,,,
PhysioNet-ludb-1.0.1,{Lobachevsky University Electrocardiography Database},"Kalyakulina, Alena and Yusipov, Igor and Moskalenko, Viktor and Nikolskiy, Alexander and Kosonogov, Konstantin and Zolotykh, Nikolai and Ivanchenko, Mikhail",2021,{PhysioNet},,,,10.13026/eegm-h675,,
PEIMANKAR2021113911,DENS-ECG: A deep learning approach for ECG signal delineation,"Peimankar, Abdolrahman and Puthusserypady, Sadasivan",2021,Expert Systems with Applications,165,,113911,https://doi.org/10.1016/j.eswa.2020.113911,,"Convolutional neural network (CNN), Deep learning, Electrocardiogram (ECG), Long short-term memory (LSTM), Signal delineation"
Joung2023-va,Deep learning based {ECG} segmentation for delineation of diverse arrhythmias,"Joung, Chankyu and Kim, Mijin and Paik, Taejin and Kong, Seong-Ho and Oh, Seung-Young and Jeon, Won Kyeong and Jeon, Jae-Hu and Hong, Joong-Sik and Kim, Wan-Joong and Kook, Woong and Cha, Myung-Jin and van Koert, Otto",2023,,,,,,,
CHEN2026103485,GLF-Net: A quasi-periodic prior-guided waveform segmentation network for ECG delineation,"Chen, Zhenqin and Lin, Yiwei and Bao, Yuying and Hu, Fengdan and Xu, Jinshan",2026,Artificial Intelligence in Medicine,180,,103485,https://doi.org/10.1016/j.artmed.2026.103485,,"ECG delineation, R-peak, Global-local fusion, Wave point classification"
WANG202056,A knowledge-based deep learning method for ECG signal delineation,"Wang, Jilong and Li, Renfa and Li, Rui and Fu, Bin",2020,Future Generation Computer Systems,109,,56-66,https://doi.org/10.1016/j.future.2020.02.068,,"Deep learning, Domain knowledge, ECG delineation, Encoder–decoder model, Knowledge encoding"
SANZGUERRERO2026109874,Peak Attention U-Net: Enhancing ECG delineation with attention,"Sanz-Guerrero, Mario and González-Cabeza, Sergio and Piñuel, Luis and {Buelga Suárez}, Mauro Luis and {Alonso Salinas}, Gonzalo Luis and Diaz-Vicente, Marian and Recas, Joaquín",2026,Biomedical Signal Processing and Control,119,,109874,https://doi.org/10.1016/j.bspc.2026.109874,,"ECG delineation, Deep learning, U-Net, Attention mechanism, Peak detection, Cardiac diagnosis, Artificial intelligence, Biomedical signal processing"
Niroshana2023-le,Beat-wise segmentation of electrocardiogram using adaptive windowing and deep neural network,"Niroshana, S M Isuru and Kuroda, Satoshi and Tanaka, Kazuyuki and Chen, Wenxi",2023,Sci. Rep.,13,1,11039,,"Timely detection of anomalies and automatic interpretation of an electrocardiogram (ECG) play a crucial role in many healthcare applications, such as patient monitoring and post treatments. Beat-wise segmentation is one of the essential steps in ensuring the confidence and fidelity of many automatic ECG classification methods. In this sense, we present a reliable ECG beat segmentation technique using a CNN model with an adaptive windowing algorithm. The proposed adaptive windowing algorithm can recognise cardiac cycle events and perform segmentation, including regular and irregular beats from an ECG signal with satisfactorily accurate boundaries.The proposed algorithm was evaluated quantitatively and qualitatively based on the annotations provided with the datasets and beat-wise manual inspection. The algorithm performed satisfactorily well for the MIT-BIH dataset with a 99.08\% accuracy and a 99.08\% of F1-score in detecting heartbeats along with a 99.25\% of accuracy in determining correct boundaries. The proposed method successfully detected heartbeats from the European S-T database with a 98.3\% accuracy and 97.4\% precision. The algorithm showed 99.4\% of accuracy and precision for Fantasia database. In summary, the algorithm's overall performance on these three datasets suggests a high possibility of applying this algorithm in various applications in ECG analysis, including clinical applications with greater confidence.",
9353265,ECG Beat Representation and Delineation by Means of Variable Projection,"Böck, Carl and Kovács, Péter and Laguna, Pablo and Meier, Jens and Huemer, Mario",2021,IEEE Transactions on Biomedical Engineering,68,10,2997-3008,10.1109/TBME.2021.3058781,,Electrocardiography;Dictionaries;Shape;Noise measurement;Feature extraction;Medical diagnostic imaging;Interpolation;Biomedical signal representation;ECG delineation;adaptive hermite functions;variable projection
10671415,An Efficient and Flexible Deep Learning Method for Signal Delineation via Keypoints Estimation,"Atienza, Adrian and Bardram, Jakob Eyvind and Jacobsen, Peter Karl and Puthusserypady, Sadasivan",2024,,,,132-136,10.1109/ICSIP61881.2024.10671415,,Deep learning;Image processing;Estimation;Signal processing algorithms;Electrocardiography;Signal processing;Distance measurement;Electrocardiogram (ECG) delineation;P-wave identification;keypoints estimation model;Deep Learning (DL)
