Experiment,Wave,Sensitivity,PPV,Missed,False positives,Onset bias ms,Onset SD ms,Offset bias ms,Offset SD ms
R1,P,0.007449067354727732,0.00531165761612689,13.63888888888889,18.538888888888888,50.142857142857146,19.79898987322333,-33.0,38.655170704864595
R1,T,0.018490391248863872,0.011194806902288102,12.85,18.95,64.83333333333333,57.104461037883205,-58.07407407407407,33.220519804927854
R2,P,0.01801151273540203,0.009798011134383685,13.477777777777778,24.86111111111111,70.64583333333333,18.419318103912936,-32.9375,18.101249948383025
R2,T,0.02526722955837592,0.015523277436029173,12.688888888888888,22.116666666666667,33.0,32.328987839356124,-64.00709219858156,26.524936671601917
R3,P,0.011820508282772433,0.007680466675717764,13.588888888888889,17.322222222222223,58.870370370370374,46.28520855296319,-42.888888888888886,49.80246881848677
R3,T,0.02395437831912823,0.01582402392967423,12.738888888888889,16.63888888888889,56.125,37.96269936731976,-46.035000000000004,20.598763663167723
R4,P,0.0018718179095537585,0.0030276346495319633,13.705555555555556,9.383333333333333,52.8,,-57.6,
R4,T,0.0,0.0,13.133333333333333,8.955555555555556,,,,
R5,P,0.008630166897563935,0.006563960051836365,14.661111111111111,19.08888888888889,75.49166666666666,17.56212842772718,-27.508333333333333,19.959549549638705
R5,T,0.0182482863179914,0.010894284163766173,17.288888888888888,24.288888888888888,64.74444444444445,50.128686378547116,-65.33650793650793,59.141823240621356
R6 adapted,P,0.032326278045738184,0.018956094078002104,14.333333333333334,21.516666666666666,83.47727272727273,26.1075387085118,-25.25,20.687416445576858
R6 adapted,T,0.03674497198273633,0.018971001284814527,16.894444444444446,25.511111111111113,47.73274853801169,34.76096939317142,-50.661403508771926,37.36818614505061
