Experiment,Metric,Seeds,Mean,SD,95% CI low,95% CI high
R1,P F1,3,0.7867155473389077,0.0025302460952678902,0.7804300675937216,0.7930010270840938
R1,T F1,3,0.7483630949064457,0.004328448646623381,0.7376106323901271,0.7591155574227643
R1,Macro F1,3,0.8182947724347597,0.0016657543548322603,0.8141568092234598,0.8224327356460596
R1,Weighted F1,3,0.8801175440121275,0.001690408093640875,0.8759183375185182,0.8843167505057368
R1,Accuracy,3,0.8800010829542994,0.0020958630439583494,0.8747946705282031,0.8852074953803956
R2,P F1,3,0.7813970128505545,0.01118551695876588,0.7536106483482057,0.8091833773529034
R2,T F1,3,0.7313720932291142,0.015421260519704176,0.6930635584098653,0.7696806280483631
R2,Macro F1,3,0.804670135248684,0.0067588568750392404,0.7878802039972841,0.821460066500084
R2,Weighted F1,3,0.8632705760216258,0.004728946863301791,0.85152322078178,0.8750179312614716
R2,Accuracy,3,0.8582889322070608,0.00487109581481412,0.8461884593960818,0.8703894050180399
R3,P F1,3,0.7805144903697769,0.020283021223727837,0.7301286724403067,0.8309003082992472
R3,T F1,3,0.7539231373798265,0.009006681907933144,0.7315492991948677,0.7762969755647854
R3,Macro F1,3,0.8181437023142752,0.009300463821121364,0.7950400693997444,0.8412473352288061
R3,Weighted F1,3,0.8803606961076428,0.005520869101642534,0.8666460969707853,0.8940752952445002
R3,Accuracy,3,0.8803763266190168,0.005596702056302572,0.8664733479796972,0.8942793052583363
R4,P F1,3,0.5507908101536801,0.003108312752364762,0.543069333225712,0.5585122870816482
R4,T F1,3,0.6740607126857615,0.005015607097722426,0.661601253947141,0.686520171424382
R4,Macro F1,3,0.7079882985479603,0.0023874207545395093,0.7020576166178668,0.7139189804780538
R4,Weighted F1,3,0.8274768561500748,0.0011486689810622712,0.8246234042159356,0.830330308084214
R4,Accuracy,3,0.8404997834091402,0.0006755805793277832,0.8388215482147268,0.8421780186035537
R5,P F1,3,0.7976696353885302,0.0025218517735976142,0.7914050082943695,0.8039342624826908
R5,T F1,3,0.7616689670040393,0.010058836249432714,0.7366814325408119,0.7866565014672667
R5,Macro F1,3,0.8252481302362592,0.0033187914764724706,0.8170037951722205,0.8334924653002979
R5,Weighted F1,3,0.8774993140188725,0.0020101443146551155,0.8725058387208391,0.8824927893169059
R5,Accuracy,3,0.8777318502242973,0.0013319244491823827,0.8744231664709221,0.8810405339776726
R6 adapted,P F1,3,0.8108365529121606,0.0014004316951744052,0.8073576877254905,0.8143154180988307
R6 adapted,T F1,3,0.7999082571765012,0.0010369310749707783,0.7973323775887123,0.80248413676429
R6 adapted,Macro F1,3,0.8446326247041164,0.00034192204089977747,0.8437832432678491,0.8454820061403836
R6 adapted,Weighted F1,3,0.8903233599477303,0.000316120289054553,0.8895380736162501,0.8911086462792104
R6 adapted,Accuracy,3,0.8893976013915591,0.0004127803469209704,0.888372198165116,0.8904230046180022
