Experiment,Records,Windows,Post samples,Accuracy,P precision,P recall,P F1,T precision,T recall,T F1,Macro F1,Weighted F1,Seed,best_epoch,best_validation_loss,post_samples,Best epoch,Best validation loss,R4 threshold,R6 adaptation epochs
R1,180,1710,240,0.881830734243015,0.7785936929600404,0.8004532528833523,0.7893721663499385,0.7683487330920176,0.727259407859888,0.7472396403281745,0.8193052629550813,0.8813683171537381,1,14.0,0.19449617519338175,240.0,,,,
R2,180,1710,240,0.855688758934373,0.6884528353637631,0.8695671001919829,0.768483023874371,0.655984778087526,0.8353864012893192,0.7348952033471476,0.8008849458485353,0.860864678634461,1,6.0,0.042835848009427725,240.0,,,,
R3,180,1710,240,0.8742413905133204,0.7521125964446203,0.7682780720874172,0.7601093949715445,0.7567827659771821,0.735621949982531,0.7460523383073204,0.8074436816620572,0.8740873237532605,1,11.0,0.05665321157285187,240.0,,,,
R4,180,1710,240,0.8397498375568551,0.7758843546387402,0.4245709254153615,0.5488216744724125,0.7990123843862674,0.5744345140822054,0.6683626302296763,0.705313105435971,0.8261675889227253,1,,,,14.0,0.19449617519338175,0.5500000000000002,
R5,180,1655,320,0.8780747047514419,0.7710893666130557,0.8311409893338274,0.799989810020571,0.7721571532056551,0.7582706556577758,0.7651509041343377,0.8271697631120868,0.8783113494047757,1,13.0,0.1901868672764936,320.0,,,,
R6 adapted,180,1655,320,0.8893861576489975,0.7867519028904034,0.8371225154169865,0.811155991536834,0.7816060335144305,0.8175779907442191,0.799187436518478,0.844506101594897,0.8902484667998461,1,,,,14.0,0.18629488878536457,,8.0
R1,180,1710,240,0.8777144249512671,0.7720635273829722,0.8013626456110975,0.7864402938030782,0.7388622648207313,0.7506452230950422,0.7447071385843588,0.8163721636884396,0.8781944076833889,2,10.0,0.19178837616549654,240.0,,,,
R2,180,1710,240,0.8552696556205328,0.6979291917167668,0.9048890685220203,0.788047543322627,0.6470668909775811,0.7976084481961929,0.7144941216854029,0.8006520276080025,0.8602283295774368,2,11.0,0.03990326977937537,240.0,,,,
R3,180,1710,240,0.8816845354126056,0.7638339143883195,0.8412460123850629,0.8006731925124506,0.7473920933391225,0.7566071971959563,0.7519714144898965,0.8242879391946918,0.8825157534777361,2,15.0,0.058277148346440134,240.0,,,,
R4,180,1710,240,0.8410607537361924,0.7747175873147476,0.4316151103540858,0.5543741251286235,0.7934427723193269,0.5888604627573848,0.6760124207530082,0.7099023360977954,0.8283153509167864,2,,,,10.0,0.19178837616549654,0.5500000000000002,
R5,180,1655,320,0.8762620159296897,0.7728895942862811,0.8248683270253818,0.7980334669107763,0.7933535281539558,0.7117359784511353,0.7503317871001175,0.8214159252523262,0.8752101794775096,2,12.0,0.1791644964800203,320.0,,,,
R6 adapted,180,1655,320,0.88981598461961,0.7921569614518179,0.8329672074742609,0.8120496694081599,0.7796271536661703,0.8202875846248532,0.7994406945358661,0.8450197760689674,0.8906702015756922,2,,,,11.0,0.17847222135942273,,8.0
R1,180,1710,240,0.8804580896686159,0.7568354787184065,0.8139064913318995,0.7843341818637065,0.7609488421319038,0.745494708607107,0.7531425058068042,0.8192068906607582,0.8807899071992551,3,11.0,0.18652929508072488,240.0,,,,
R2,180,1710,240,0.8639083820662768,0.7063796638905754,0.8900789583844566,0.7876604713546657,0.6660917649778189,0.8444138894837088,0.744726954654792,0.8124734322895142,0.8687187198529794,3,13.0,0.038998907291087785,240.0,,,,
R3,180,1710,240,0.8852030539311241,0.7774088755956896,0.784141923004749,0.7807608836253359,0.7920015493366902,0.737436463839331,0.7637456593422627,0.8226994860860768,0.8844790110919319,3,6.0,0.05677484122237989,240.0,,,,
R4,180,1710,240,0.840688758934373,0.757862913469844,0.4306046739899245,0.5491766308600042,0.8002147733374243,0.5878799490583687,0.6778070870746001,0.7087494541101146,0.8279476286107128,3,,,,11.0,0.18652929508072488,0.5500000000000002,
R5,180,1655,320,0.8788588299917605,0.7715239210021667,0.8199190111955112,0.7949856292342434,0.7782036926547392,0.7610361998545292,0.7695242097776628,0.8271587023443646,0.8789764131743325,3,15.0,0.19814172850436523,320.0,,,,
R6 adapted,180,1655,320,0.8889906619060698,0.785946754785211,0.8340920519810496,0.8093039977914882,0.7759350397387207,0.8279447850308925,0.8010966404751593,0.8443719964484847,0.8900514114676525,3,,,,8.0,0.17532327732838252,,8.0
