Experiment,Metric,Record mean,95% CI low,95% CI high,Records
R1,Macro F1,0.785029137822222,0.7628681446118625,0.8055232677288325,180
R1,P F1,0.7004641722985308,0.6565129579884915,0.7399580405410142,180
R1,T F1,0.7339869248552436,0.705389647449082,0.7613961631467165,180
R2,Macro F1,0.7470385835514117,0.7252541400560366,0.7681513821844538,180
R2,P F1,0.6974209657393451,0.6571633051693047,0.7342083071149482,180
R2,T F1,0.6741011076264884,0.6485380351815428,0.7001612380870168,180
R3,Macro F1,0.7563236967271757,0.732274679051646,0.7786409391401942,180
R3,P F1,0.6549860764331702,0.6092461253930257,0.6962827657750368,180
R3,T F1,0.7014014567597171,0.6691018877533228,0.7314064475661258,180
R4,Macro F1,0.6843710660696837,0.6639614319216175,0.7039271633301107,180
R4,P F1,0.4985217787371583,0.46688326807315644,0.5288549267160708,180
R4,T F1,0.6523839143030171,0.613846067624442,0.6901536141871406,180
R5,Macro F1,0.7738917949519458,0.751094330319717,0.7952424495289705,180
R5,P F1,0.6904549374797627,0.6455792445486028,0.7309634873252127,180
R5,T F1,0.7200990668446262,0.6900688414476565,0.7493780425498562,180
R6 adapted,Macro F1,0.8014756434390882,0.7833950223601525,0.8178369652623154,180
R6 adapted,P F1,0.7270502189154386,0.6870835022450457,0.7646237443567918,180
R6 adapted,T F1,0.7634276520077428,0.7456994103881806,0.7812101979011106,180
