Wave,Boundary,error_samples,error_ms,seed,record_id,sampling_frequency_hz
P,Onset,3,12.0,1,1,250.0
P,Offset,-3,-12.0,1,1,250.0
P,Onset,2,8.0,1,1,250.0
P,Offset,-3,-12.0,1,1,250.0
P,Onset,0,0.0,1,1,250.0
P,Offset,-2,-8.0,1,1,250.0
P,Onset,1,4.0,1,1,250.0
P,Offset,-3,-12.0,1,1,250.0
P,Onset,1,4.0,1,1,250.0
P,Offset,-4,-16.0,1,1,250.0
T,Onset,4,16.0,1,1,250.0
T,Offset,-1,-4.0,1,1,250.0
T,Onset,0,0.0,1,1,250.0
T,Offset,-3,-12.0,1,1,250.0
T,Onset,-1,-4.0,1,1,250.0
T,Offset,-3,-12.0,1,1,250.0
T,Onset,-1,-4.0,1,1,250.0
T,Offset,-3,-12.0,1,1,250.0
T,Onset,-2,-8.0,1,1,250.0
T,Offset,-3,-12.0,1,1,250.0
P,Onset,2,8.0,1,10,250.0
P,Offset,-2,-8.0,1,10,250.0
P,Onset,8,32.0,1,10,250.0
P,Offset,-6,-24.0,1,10,250.0
P,Onset,5,20.0,1,10,250.0
P,Offset,-8,-32.0,1,10,250.0
P,Onset,6,24.0,1,10,250.0
P,Offset,-13,-52.0,1,10,250.0
P,Onset,9,36.0,1,10,250.0
P,Offset,-1,-4.0,1,10,250.0
P,Onset,16,64.0,1,10,250.0
P,Offset,-7,-28.0,1,10,250.0
P,Onset,11,44.0,1,10,250.0
P,Offset,-2,-8.0,1,10,250.0
T,Onset,1,4.0,1,10,250.0
T,Offset,-1,-4.0,1,10,250.0
T,Onset,1,4.0,1,10,250.0
T,Offset,-1,-4.0,1,10,250.0
T,Onset,2,8.0,1,10,250.0
T,Offset,-1,-4.0,1,10,250.0
T,Onset,3,12.0,1,10,250.0
T,Offset,-1,-4.0,1,10,250.0
T,Onset,5,20.0,1,10,250.0
T,Offset,-2,-8.0,1,10,250.0
T,Onset,4,16.0,1,10,250.0
T,Offset,1,4.0,1,10,250.0
T,Onset,12,48.0,1,10,250.0
T,Offset,-1,-4.0,1,10,250.0
P,Onset,1,4.0,1,100,250.0
P,Offset,-1,-4.0,1,100,250.0
P,Onset,2,8.0,1,100,250.0
P,Offset,-2,-8.0,1,100,250.0
P,Onset,0,0.0,1,100,250.0
P,Offset,-1,-4.0,1,100,250.0
P,Onset,0,0.0,1,100,250.0
P,Offset,1,4.0,1,100,250.0
P,Onset,2,8.0,1,100,250.0
P,Offset,0,0.0,1,100,250.0
P,Onset,1,4.0,1,100,250.0
P,Offset,1,4.0,1,100,250.0
P,Onset,2,8.0,1,100,250.0
P,Offset,1,4.0,1,100,250.0
P,Onset,3,12.0,1,100,250.0
P,Offset,0,0.0,1,100,250.0
T,Onset,5,20.0,1,100,250.0
T,Offset,-3,-12.0,1,100,250.0
T,Onset,6,24.0,1,100,250.0
T,Offset,-4,-16.0,1,100,250.0
T,Onset,5,20.0,1,100,250.0
T,Offset,-2,-8.0,1,100,250.0
T,Onset,4,16.0,1,100,250.0
T,Offset,-1,-4.0,1,100,250.0
T,Onset,5,20.0,1,100,250.0
T,Offset,-1,-4.0,1,100,250.0
T,Onset,6,24.0,1,100,250.0
T,Offset,0,0.0,1,100,250.0
T,Onset,10,40.0,1,100,250.0
T,Offset,-2,-8.0,1,100,250.0
T,Onset,13,52.0,1,100,250.0
T,Offset,-1,-4.0,1,100,250.0
T,Onset,1,4.0,1,101,250.0
T,Offset,-2,-8.0,1,101,250.0
T,Onset,0,0.0,1,101,250.0
T,Offset,-1,-4.0,1,101,250.0
T,Onset,32,128.0,1,101,250.0
T,Offset,-25,-100.0,1,101,250.0
T,Onset,11,44.0,1,101,250.0
T,Offset,0,0.0,1,101,250.0
T,Onset,4,16.0,1,101,250.0
T,Offset,11,44.0,1,101,250.0
T,Onset,6,24.0,1,101,250.0
T,Offset,10,40.0,1,101,250.0
T,Onset,19,76.0,1,101,250.0
T,Offset,-35,-140.0,1,101,250.0
T,Onset,3,12.0,1,101,250.0
T,Offset,16,64.0,1,101,250.0
T,Onset,15,60.0,1,101,250.0
T,Offset,11,44.0,1,101,250.0
T,Onset,18,72.0,1,101,250.0
T,Offset,16,64.0,1,101,250.0
P,Onset,2,8.0,1,102,250.0
P,Offset,-2,-8.0,1,102,250.0
P,Onset,2,8.0,1,102,250.0
P,Offset,-2,-8.0,1,102,250.0
P,Onset,1,4.0,1,102,250.0
P,Offset,-1,-4.0,1,102,250.0
P,Onset,2,8.0,1,102,250.0
P,Offset,-2,-8.0,1,102,250.0
P,Onset,2,8.0,1,102,250.0
P,Offset,-3,-12.0,1,102,250.0
P,Onset,2,8.0,1,102,250.0
P,Offset,-1,-4.0,1,102,250.0
P,Onset,2,8.0,1,102,250.0
P,Offset,-4,-16.0,1,102,250.0
P,Onset,2,8.0,1,102,250.0
P,Offset,-4,-16.0,1,102,250.0
T,Onset,3,12.0,1,102,250.0
T,Offset,-3,-12.0,1,102,250.0
