seed,Wave,Boundary,Mean Error (ms),SD (ms),MAE (ms),Median AE (ms),Minimum (ms),Maximum (ms),Matched events
1,P,Offset,-9.6864,15.398966120037176,11.0752,8.0,-148.0,36.0,1250
1,P,Onset,9.5616,20.529261211566144,12.4288,4.0,-152.0,204.0,1250
1,T,Offset,-7.296270232230824,28.590556283749486,16.106966924700917,8.0,-160.0,200.0,1421
1,T,Onset,16.97396199859254,28.80175117663522,23.66783954961295,16.0,-112.0,172.0,1421
2,P,Offset,-10.920127795527156,19.502608257373414,12.78594249201278,8.0,-144.0,48.0,1252
2,P,Onset,9.194888178913738,18.626293425747658,11.26517571884984,4.0,-68.0,208.0,1252
2,T,Offset,-10.724354501046754,28.50056502463422,17.20586182833217,8.0,-172.0,140.0,1433
2,T,Onset,18.2079553384508,31.391629107282363,25.605024424284718,20.0,-136.0,172.0,1433
3,P,Offset,-10.944946589975348,18.051218053319666,12.693508627773213,8.0,-112.0,40.0,1217
3,P,Onset,7.454396055875103,17.60732407278843,10.024650780608052,4.0,-100.0,172.0,1217
3,T,Offset,-10.845129642606867,30.106132666936777,18.306937631394533,8.0,-148.0,136.0,1427
3,T,Onset,16.99509460406447,29.64070688549734,23.789768745620183,16.0,-112.0,148.0,1427
