Wave,Reference,Predicted,TP,FP,FN,Sensitivity,PPV,F1,Missed,False,Onset MAE,Offset MAE,seed,record_id,sampling_frequency_hz,reference_length,prediction_length
P,5,7,5,2,0,1.0,0.7142857142857143,0.8333333333333333,0,2,5.6,12.0,1,1,250.0,2500,2500
T,5,6,5,1,0,1.0,0.8333333333333334,0.9090909090909091,0,1,6.4,10.4,1,1,250.0,2500,2500
P,7,11,7,4,0,1.0,0.6363636363636364,0.7777777777777778,0,4,32.57142857142857,22.285714285714285,1,10,250.0,2500,2500
T,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,16.0,4.571428571428571,1,10,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,5.5,3.5,1,100,250.0,2500,2500
T,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,27.0,7.0,1,100,250.0,2500,2500
P,0,13,0,13,0,0.0,0.0,0.0,0,13,,,1,101,250.0,2500,2500
T,10,20,10,10,0,1.0,0.5,0.6666666666666666,0,10,43.6,50.8,1,101,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,7.5,9.5,1,102,250.0,2500,2500
T,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,11.5,8.0,1,102,250.0,2500,2500
P,0,19,0,19,0,0.0,0.0,0.0,0,19,,,1,103,250.0,2500,2500
T,13,28,13,15,0,1.0,0.4642857142857143,0.6341463414634146,0,15,36.30769230769231,39.38461538461539,1,103,250.0,2500,2500
P,11,21,11,10,0,1.0,0.5238095238095238,0.6875000000000001,0,10,21.09090909090909,25.454545454545453,1,106,250.0,2500,2500
T,11,15,11,4,0,1.0,0.7333333333333333,0.846153846153846,0,4,36.36363636363637,5.818181818181818,1,106,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,9.142857142857142,21.142857142857142,1,107,250.0,2500,2500
T,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,17.142857142857142,33.142857142857146,1,107,250.0,2500,2500
P,0,11,0,11,0,0.0,0.0,0.0,0,11,,,1,109,250.0,2500,2500
T,13,25,6,19,7,0.46153846153846156,0.24,0.3157894736842105,7,19,41.333333333333336,32.0,1,109,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,3.4285714285714284,6.857142857142857,1,11,250.0,2500,2500
T,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,22.857142857142858,8.571428571428571,1,11,250.0,2500,2500
P,0,0,0,0,0,0.0,0.0,0.0,0,0,,,1,110,250.0,2500,2500
T,12,5,4,1,8,0.3333333333333333,0.8,0.47058823529411764,8,1,32.0,44.0,1,110,250.0,2500,2500
P,0,2,0,2,0,0.0,0.0,0.0,0,2,,,1,111,250.0,2500,2500
T,7,16,7,9,0,1.0,0.4375,0.6086956521739131,0,9,11.428571428571429,7.428571428571429,1,111,250.0,2500,2500
P,0,14,0,14,0,0.0,0.0,0.0,0,14,,,1,112,250.0,2500,2500
T,13,23,13,10,0,1.0,0.5652173913043478,0.7222222222222222,0,10,20.923076923076923,33.84615384615385,1,112,250.0,2500,2500
P,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,2.2857142857142856,8.0,1,113,250.0,2500,2500
T,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,45.714285714285715,3.4285714285714284,1,113,250.0,2500,2500
P,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,6.857142857142857,9.714285714285714,1,115,250.0,2500,2500
T,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,24.0,8.0,1,115,250.0,2500,2500
P,13,16,13,3,0,1.0,0.8125,0.896551724137931,0,3,37.84615384615385,10.153846153846153,1,116,250.0,2500,2500
T,13,15,13,2,0,1.0,0.8666666666666667,0.9285714285714286,0,2,16.615384615384617,5.230769230769231,1,116,250.0,2500,2500
P,13,15,13,2,0,1.0,0.8666666666666667,0.9285714285714286,0,2,3.6923076923076925,6.769230769230769,1,117,250.0,2500,2500
